Habitat Description	Good	Fairly Good	Moderate	Fairly Poor	Poor	Condition Assessment N/A	N/A - Other
Heathland and shrub - Willow scrub	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Upland heathland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Aquifer fed naturally fluctuating water bodies	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - High alkalinity lakes	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Low alkalinity lakes	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Marl lakes	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Moderate alkalinity lakes	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Peat lakes	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Ponds (priority habitat)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Ponds (non-priority habitat)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Reservoirs	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Temporary lakes ponds and pools (H3170)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Sparsely vegetated land - Calaminarian grasslands	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Sparsely vegetated land - Coastal sand dunes	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Sparsely vegetated land - Coastal vegetated shingle	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Sparsely vegetated land - Ruderal/Ephemeral	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Sparsely vegetated land - Tall forbs	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Sparsely vegetated land - Inland rock outcrop and scree habitats	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Sparsely vegetated land - Limestone pavement	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Sparsely vegetated land - Maritime cliff and slopes	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Sparsely vegetated land - Other inland rock and scree	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Allotments	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Lakes - Ornamental lake or pond	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Artificial unvegetated, unsealed surface	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	0
Urban - Bioswale	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Intensive green roof	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Built linear features	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	0
Urban - Cemeteries and churchyards	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Developed land; sealed surface	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	0
Urban - Other green roof	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Urban - Facade-bound green wall	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Ground based green wall	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Ground level planters	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Urban - Biodiverse green roof	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Introduced shrub	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Urban - Open mosaic habitats on previously developed land	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Rain garden	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Actively worked sand pit quarry or open cast mine	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Individual trees - Urban tree	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Sustainable drainage system	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Unvegetated garden	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	0
Urban - Vacant or derelict land	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Bare ground	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Urban - Vegetated garden	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Wetland - Blanket bog	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Wetland - Depressions on peat substrates (H7150)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Wetland - Fens (upland and lowland)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Wetland - Lowland raised bog	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Wetland - Oceanic valley mire[1] (D2.1)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Wetland - Purple moor grass and rush pastures	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Wetland - Reedbeds	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Wetland - Transition mires and quaking bogs (H7140)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Felled	3	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲
Woodland and forest - Lowland beech and yew woodland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Lowland mixed deciduous woodland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Native pine woodlands	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Other coniferous woodland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Other Scot's pine woodland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Other woodland; broadleaved	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Other woodland; mixed	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Upland birchwoods	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Upland mixed ashwoods	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Upland oakwood	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Wet woodland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Woodland and forest - Wood-pasture and parkland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Coastal lagoons - Coastal lagoons	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Rocky shore - High energy littoral rock	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Rocky shore - High energy littoral rock - on peat, clay or chalk	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Rocky shore - Moderate energy littoral rock	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Rocky shore - Moderate energy littoral rock - on peat, clay or chalk	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Rocky shore - Low energy littoral rock	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Rocky shore - Low energy littoral rock - on peat, clay or chalk	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Rocky shore - Features of littoral rock	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Rocky shore - Features of littoral rock - on peat, clay or chalk	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Littoral coarse sediment	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Littoral mud	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Littoral mixed sediments	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Coastal saltmarsh - Saltmarshes and saline reedbeds	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Littoral seagrass	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Littoral seagrass on peat, clay or chalk	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Littoral biogenic reefs - Mussels	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Littoral biogenic reefs - Sabellaria	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Features of littoral sediment	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Artificial littoral coarse sediment	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Artificial littoral mud	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Artificial littoral sand	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Artificial littoral muddy sand	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Artificial littoral mixed sediments	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Artificial littoral seagrass	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Artificial littoral biogenic reefs	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Littoral sand	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal sediment - Littoral muddy sand	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal hard structures - Artificial hard structures	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal hard structures - Artificial features of hard structures	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Intertidal hard structures - Artificial hard structures with integrated greening of grey infrastructure (IGGI)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Watercourse footprint - Watercourse footprint	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	0
Individual trees - Rural tree	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
